80.66.77.85 - - [22/Jan/2023:03:23:24 -0500] "-" 400 2244
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "GET / HTTP/1.0" 200 11266
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "GET /nmaplowercheck1674385925 HTTP/1.1" 404 1098
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "GET /Portal0000.htm HTTP/1.1" 404 1088
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "-" 400 2244
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "GET /GkeE HTTP/1.1" 404 1078
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "GET /server-status HTTP/1.1" 404 1087
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "GET / HTTP/1.1" 200 11286
139.162.7.59 - - [22/Jan/2023:06:07:46 -0500] "POST /sdk HTTP/1.1" 404 1077
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /HNAP1 HTTP/1.1" 404 1079
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /__Additional HTTP/1.1" 404 1086
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /.git/HEAD HTTP/1.1" 404 1087
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /CSS/Miniweb.css HTTP/1.1" 404 1093
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /Portal/Portal.mwsl HTTP/1.1" 404 1096
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /nmaplowercheck1674385926 HTTP/1.1" 404 1098
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET / HTTP/1.1" 200 11286
139.162.7.59 - - [22/Jan/2023:06:07:47 -0500] "GET /indice.jhtml HTTP/1.1" 404 1086
